Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,Yrs,event
1,1998,NBA,1,1,LAC,Michael Olowokandi\olowomi01,23.088,C,ng,University of the Pacific,1999,2007,500,26.3,8.3,6.8,0.7,0.5,1.4,0.435,0.435,0,0.597,2.5,9,1
2,1998,NBA,1,2,VAN,Mike Bibby\bibbymi01,20.047,G,us,Arizona,1999,2012,1001,33.9,14.7,3.1,5.5,1.2,0.1,0.436,0.463,0.379,0.802,73.2,14,1
3,1998,NBA,1,3,DEN,Raef LaFrentz\lafrera01,22.031,F-C,us,Kansas,1999,2008,563,25.8,10.1,6.1,1.1,0.5,1.6,0.466,0.505,0.363,0.711,39.4,10,1
4,1998,NBA,1,4,TOR,Antawn Jamison\jamisan01,22.017,F,us,UNC,1999,2014,1083,34.8,18.5,7.5,1.6,1,0.4,0.451,0.477,0.346,0.724,87.8,16,1
5,1998,NBA,1,5,GSW,Vince Carter\cartevi01,21.154,G-F,us,UNC,1999,2020,1489,30.6,17.1,4.4,3.1,1,0.6,0.437,0.462,0.373,0.798,125.5,22,0
6,1998,NBA,1,6,DAL,Robert Traylor\traylro01,21.148,F,us,Michigan,1999,2005,438,14.3,4.8,3.7,0.7,0.6,0.7,0.474,0.478,0.167,0.577,13.3,7,1
7,1998,NBA,1,7,SAC,Jason Williams\willija02,22.224,G,us,Florida,1999,2011,788,29.4,10.5,2.3,5.9,1.2,0.1,0.398,0.467,0.327,0.813,38.5,13,1
8,1998,NBA,1,8,PHI,Larry Hughes\hughela01,19.157,G,us,Saint Louis University,1999,2012,727,30.8,14.1,4.2,3.1,1.5,0.4,0.406,0.428,0.309,0.757,32.3,14,1
9,1998,NBA,1,9,MIL,Dirk Nowitzki\nowitdi01,20.01,F,de,NA,1999,2019,1522,33.8,20.7,7.5,2.4,0.8,0.8,0.471,0.496,0.38,0.879,206.3,21,1
10,1998,NBA,1,10,BOS,Paul Pierce\piercpa01,20.259,F-G,us,Kansas,1999,2017,1343,34.2,19.7,5.6,3.5,1.3,0.6,0.445,0.478,0.368,0.806,150,19,1
11,1998,NBA,1,11,DET,Bonzi Wells\wellsbo01,21.274,G-F,us,Ball State University,1999,2008,591,25.6,12.1,4.6,2.1,1.3,0.3,0.46,0.477,0.327,0.697,29.4,10,1
